,MoviesN,AvgPop,AvgIMDB,Score
Teri Garr,7,0.01925217111806444,0.6507936507936507,0.45303360694176864
Ryan Phillippe,8,0.029470778993119198,0.6388888888888888,0.4530110911976702
John Travolta,12,0.031154398923288203,0.6337448559670782,0.4529118250943377
Nicolas Cage,22,0.03647762889608066,0.6313131313131313,0.4528624780507198
Raymond J. Barry,7,0.018020161597302038,0.6507936507936507,0.4526706518401146
Rachel Ticotin,6,0.02844616473153284,0.6666666666666666,0.4526637166763116
Harry Wilson,4,0.033051407867673716,0.8703703703703702,0.45265296266848226
Michael Madsen,12,0.04691791678323334,0.6265432098765431,0.452599766700012
Crispin Glover,6,0.046774845342735655,0.6584362139917695,0.4524134633659183
Mila Kunis,7,0.04113998876995302,0.6402116402116401,0.4522076723496625
Michael Kenneth Williams,10,0.04508335196206906,0.6271604938271604,0.45212506657324975
Rebecca De Mornay,9,0.028865282564889603,0.635116598079561,0.45212050873002957
Steve Buscemi,18,0.03124040411042283,0.6323731138545953,0.4520331626533501
James Franco,19,0.032918711781561485,0.631578947368421,0.45198082582862187
Andrea Martin,8,0.025733781182830855,0.6388888888888888,0.45189749520535827
Kelly Preston,8,0.02565971154953927,0.6388888888888888,0.4518754230364749
Neil Patrick Harris,6,0.11656216588219191,0.6275720164609053,0.45177643693463665
Douglas M. Griffin,6,0.034496286888624564,0.662551440329218,0.45164863293104957
Sandra Bullock,12,0.035975346248302134,0.6296296296296295,0.45147762784962886
Lukas Haas,8,0.03152329033270861,0.6358024691358024,0.45147668948976966
Jason Lee,8,0.03855341470939733,0.632716049382716,0.45142557736639405
Cameron Bright,6,0.05755131279364338,0.6522633744855967,0.45137701754577664
Adam LeFevre,7,0.030079793346303743,0.6437389770723103,0.45137401842920216
Steve James,5,0.02582964795125485,0.7209876543209877,0.45135587696103613
Jon Voight,13,0.03303641507183965,0.6305792972459638,0.45129594378957644
Meg Ryan,12,0.028042087047902772,0.632716049382716,0.4512581709997963
Carl Weathers,7,0.037842994724047035,0.6402116402116401,0.45123636426403674
Jonathan Rhys Meyers,6,0.03730752597279291,0.6604938271604938,0.45107998666854165
Bob Balaban,6,0.027564270739600022,0.6646090534979423,0.4510396755092419
Sharon Stone,9,0.03162412829358885,0.6323731138545953,0.45103042553725015
Caroline Aaron,9,0.03145717810600078,0.6323731138545953,0.4509804643224437
Timothy Olyphant,13,0.034009173908804535,0.6296296296296295,0.45092302103989856
Patricia Belcher,6,0.041499015878014064,0.6584362139917695,0.45090577777223195
Martin Balsam,5,0.0354820493544399,0.7160493827160493,0.4508616884065311
