,MoviesN,AvgPop,AvgIMDB,Score
James Griffith,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Regis Parton,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Sol Gorss,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Don Turner,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Robert Stevenson,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Peter Virgo,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Charles Laughton,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Carey Loftin,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Tom Steele,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
David Bond,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Paul E. Burns,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Louie Elias,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Shari Lee Bernath,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Robert Fuller,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Lars Hensen,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Jerry Summers,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Joan McKellen,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Lila Finn,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Vinton Hayworth,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Valley Keene,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Jack Grinnage,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Preston Peterson,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Helen Thurston,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Harold J. Stone,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Logan Field,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
John Stephenson,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Otto Malde,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Chuck Courtney,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Bob Morgan,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Aaron Saxon,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Fred Zendar,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Tracy Olsen,1,0.03867689673491219,0.8271604938271604,0.07040308322348345
Debi Storm,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Wallace Ford,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Kelly Flynn,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Elizabeth Hartman,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Saverio LoMedico,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Dorothy Lovett,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Elisabeth Fraser,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Renata Vanni,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Ivan Dixon,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Fred Holliday,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Gregg Martell,1,0.00856861037225307,0.839506172839506,0.07035653321886425
Hiroshi Yanaka,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Shinji Ogawa,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Atsuko Hayashida,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Toshiki Kameyama,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Masato Yamanouchi,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Atsuko Tanaka,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Tesshou Genda,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Yutaka Nakano,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Naruki Masahisa,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Mitsuru Miyamoto,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Takashi Matsuyama,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Atsushi Goto,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Kazuhiro Yamaji,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Akio Ohtsuka,1,0.03720011672205204,0.8271604938271604,0.07035027227566841
Jody Hart,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Christopher George Sarris,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Allan Chanes,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Ricardo Chacon,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Jeremy Maxwell,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Abigail Marlowe,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Joe Russo,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Charles Wittman,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Michael De Geus,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Zack Duhame,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Dean Barlage,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Dominic Rains,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Georges St-Pierre,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Ed Brubaker,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
Joe Rosalina,1,0.06515988851179476,0.8148148148148147,0.07031998951575795
